video_id,title,channel_title,category_id,views,likes,dislikes,comment_count,year
SbOwzAl9ZfQ,CapÃ­tulo 12 | MasterChef 2017,MasterChef 2017,24,310130,4182,361,1836,2017
klOV6Xh-DnI,ALEXA EX-INTEGRANTE DEL GRUPO TIMBIRICHE RENUNCIA A Â¨La Voz Mexico 7Â¨TELEVISA 11/11/2017,Micky Contreras Martinez,22,104972,271,174,369,2017
6L2ZF7Qzsbk,LOUIS CKAGÃ“ - EL PULSO DE LA REPÃšBLICA,El Pulso De La RepÃºblica,25,136064,10105,266,607,2017
hcY52MFWMDM,Sismo de 6.7 sacude Costa Rica 12 Noviembre 2017,Casanare,25,96153,378,171,208,2017
_OXDcGPVAa4,DOG HACKS | MUSAS LESSLIE LOS POLINESIOS,Musas,26,499965,57781,681,7428,2017
Q9kK6NWZR1U,Asi se sintio Terremoto en iraq al bordo de iran 7.6,MÃšSICA & ENTRETENIMIENTO,10,129645,506,67,239,2017
c9VTD3n_IDs,La Resolana con el Capi | Programa 12 noviembre  2017,La Resolana,22,75197,2277,69,164,2017
XzULSsZYMRc,M6.7 Costa Rica AnÃ¡lisis de Terremotos en (((ALERTA SÃSMICA))) con Alex Backman,concienciaradio,25,142522,7745,659,0,2017
uijjYNtl_UM,7 NiÃ±os Famosos Que No Supieron Adaptarse a La Fama - Los mejores Top 10,Los mejores Top 10,24,371110,20155,912,766,2017
cOJ68MQm2ac,TOP: Los 7 libros infantiles mÃ¡s perturbadores | Angel David Revilla (Dross),DrossRotzank,24,1111314,83582,2194,9106,2017
rZZEeeAVgog,Franco Escamilla.- Tradiciones y Faitelson,Franco Escamilla,23,471516,23279,270,494,2017
kTT472QeJGg,Juanpa Zurita Â¿Se clavÃ³ el dinero de las donaciones? | Viral Team le tira a Dosogas,maurg1,22,220315,17070,7718,1895,2017
yhdI98_O-Xc,Disney Challenge - feat. Luis Angel Gomez / Miguel en Coco/ Memo Aponte,Memo Aponte,22,127796,13293,216,2318,2017
7jmJtdqI6YE,Sismo sacude Costa Rica la noche del 12 de Noviembre de 2017,Harrison,24,53265,194,41,90,2017
Dhhp8M5K3UI,Deleted video,Harrison,24,53265,194,41,90,2017
M16Usa8oqDg,"TERREMOTO 7,2 SACUDE IRAK E IRÃN 12.11.17 PRIMERAS IMÃGENES",EnigmAnÃ³nimo Mundo de Hoy,25,66073,399,39,109,2017
OFXU_vrye9w,Â¡Se acabÃ³ la espera! El Privilegio de Mandar | CapÃ­tulo 01,El Privilegio de Mandar,23,30274,705,199,125,2017
238T-LaO_IM,Termina Telenovela  Las Malcriadas sin Pena ni Gloria,Chacaleo. Com,24,47789,776,143,308,2017
KO-QO5QQAyM,Mexico vs Polonia 1-0 RESUMEN GOLES [Goals-Highlights] Amistoso Friendly-Match 13/11/2017,Central de notÃ­cias e esportes CNE,17,39857,233,45,324,2017
7D-swI6qNLM,HACKS CON SILICÃ“N CALIENTE,MaireWink,24,217025,26934,201,1277,2017
WflHonz04Uc,Terremoto de irak 7.3 Momento exacto,noaseify,24,29667,20,53,10,2017
d1oYTRYmNHs,"**SI TE RÃES, PIERDES** Â¡Â¡(911% IMPOSIBLE)!! ðŸŽ€ RecopilaciÃ³n de los Mejores VÃ­deos de Risa 2017",THE YOLO,23,667216,28782,1770,3892,2017
GR1Af3ZG-lE,The Walking Dead 8 Temporada EpisÃ³dio 4 (LEGENDADO),#Victor Daniel,22,194758,4085,182,531,2017
y_6rR8yKONo,Porque Carlos Vela no QuerÃ­a ir a la SelecciÃ³n y se perdiÃ³ el Mundial del 2014 Boser Salseo,Boser Salseo Futbolero,17,227651,5532,213,662,2017
